Date,ANDV,APA,APC,BHGE,CHK,COG,COP,CVX,CXO,DVN,EOG,EQT,FTI,HAL,HES,HP,KMI,MPC,MRO,NBL,NFX,NOV,OKE,OXY,PSX,PXD,RRC,SLB,VLO,WMB,XEC,XOM
2018-01-16,118.40641799999999,46.022301,58.549999,36.078753999999996,4.14,27.970173,58.525024,130.708832,156.720001,43.259997999999996,113.389999,58.0835,33.389998999999996,51.927162,53.540001000000004,68.977562,19.260456,70.300697,18.24,31.545462,34.099998,38.470001,58.052624,74.380936,102.71904,182.509995,16.780001000000002,76.629211,95.278091,32.59,125.729118,86.089668
2018-01-17,120.37406200000001,46.280907,58.970001,36.088699,4.09,27.920278999999997,59.539566,131.055389,156.580002,43.439999,113.529999,58.123474,33.669998,52.64435600000001,54.02,69.86784399999999,19.439255,71.492577,18.84,31.764597,34.330002,38.919998,58.654872999999995,74.963974,105.358971,184.320007,16.780001000000002,76.66893,96.675301,32.52,126.34861799999999,87.109245
2018-01-18,117.472282,46.450001,58.290001000000004,34.547298,3.99,27.511152000000003,59.440098,130.292969,156.470001,43.200001,114.239998,57.114113,33.150002,52.156265000000005,53.84,69.274315,18.882996,71.00589000000001,18.690001000000002,31.505619,33.740002000000004,37.91,57.401012,74.49951899999999,104.495529,184.380005,16.469998999999998,75.834824,95.585274,32.279999,124.54007,86.545013
2018-01-19,117.61141200000002,46.049999,58.200001,34.547298,3.95,27.451283,59.430153000000004,130.005829,156.190002,42.849998,114.370003,55.994811999999996,33.5,52.803734,52.610001000000004,70.36245,18.882996,71.403183,18.58,31.565384,33.32,37.98,57.578728000000005,74.657639,104.832962,183.169998,16.08,75.884468,96.37802099999999,32.299999,123.940552,86.267845
2018-01-22,118.50579099999999,47.66,60.720001,35.352802000000004,3.97,28.050001,60.345226000000004,131.253403,160.41000400000001,44.810001,116.82,57.124104,34.59,56.180546,53.470001,70.352562,19.498854,72.664589,19.280001000000002,32.810466999999996,34.139998999999996,38.740002000000004,59.1189,76.71305799999999,105.855194,186.300003,16.549999,79.230858,98.052696,32.849998,126.69834099999999,87.356712
2018-01-23,117.87973000000001,47.77,60.939999,35.621307,4.07,28.360001,60.146301,129.728592,160.529999,44.52,117.839996,58.403296999999995,34.450001,56.608875,53.619999,70.797699,19.320057000000002,72.62485500000001,19.219998999999998,32.999722,33.860001000000004,38.73,59.711273,76.50554699999999,106.09338400000001,186.009995,17.33,78.654915,97.795059,33.150002,124.949745,87.406212
2018-01-24,115.842522,48.119999,61.43,33.592621,4.08,28.110001,60.166194999999995,130.09493999999998,160.899994,44.52,118.470001,58.723099,34.650002,55.12466800000001,53.880001,70.609749,19.012127,71.105209,19.280001000000002,32.959877,34.130001,38.290001000000004,59.938347,76.64389,103.840508,188.330002,17.0,77.632133,96.774399,33.099998,124.130402,87.633881
2018-01-25,114.401573,47.450001,61.490002000000004,32.130779,3.96,27.620001000000002,59.161598,129.36222800000002,159.78999299999998,43.91,117.449997,58.443275,33.990002000000004,54.985214,53.59,72.894829,18.694264999999998,70.598671,18.68,32.491726,33.810001,37.599998,59.810001,75.833572,103.38398000000001,188.5,15.32,76.788094,96.298744,32.400002,120.15358700000002,87.475502
2018-01-26,113.397873,48.080002,61.84,32.558392,4.0,27.83,60.066727,129.89691200000001,161.66000400000001,43.860001000000004,117.760002,58.703114,34.099998,55.39362,53.689999,73.290504,18.6446,71.254196,18.84,32.422001,33.959998999999996,37.709998999999996,60.150002,76.26837900000001,105.785721,188.360001,15.3,77.066132,97.795059,32.529999,119.683968,88.099121
2018-01-29,110.068779,46.650002,60.959998999999996,31.225824,3.88,27.059998999999998,59.340633,127.213623,161.279999,43.330002,116.58000200000001,56.814296999999996,33.080002,54.586769,52.310001,73.527924,18.584999,69.674965,18.620001000000002,32.003654,33.330002,36.73,59.490002000000004,75.339478,103.463379,187.0,15.09,75.844749,95.515907,31.98,118.584846,87.119141
