Date,AEE,AEP,AES,AWK,CMS,CNP,D,DTE,DUK,ED,EIX,ES,ETR,EXC,FE,LNT,NEE,NI,NRG,PCG,PEG,PNW,PPL,SCG,SO,SRE,WEC,XEL
2018-01-05,57.389998999999996,70.11891899999999,10.748285000000001,86.293243,45.427715,27.580578000000003,75.97377,105.291397,80.973831,80.984909,62.98,61.273254,78.95566600000001,37.834,29.766975,40.731533,150.632324,24.580645,28.696962,44.290001000000004,49.186446999999994,81.697929,30.49057,45.02,46.171104,108.449997,64.284607,46.790001000000004
2018-01-08,58.07,70.732948,10.748285000000001,87.039299,45.953293,27.748814000000003,77.140465,106.06473500000001,81.23075899999999,82.12428299999999,64.199997,61.699451,79.864563,38.240177,30.043783,41.18763,151.873444,24.788870000000003,29.136457,45.23,49.335018,82.322411,30.933889,45.52,46.585636,108.480003,64.839554,47.139998999999996
2018-01-09,57.32,69.901031,10.639517999999999,86.253456,45.328548,27.47172,76.3396,104.775848,80.28208199999999,81.25241899999999,63.52,61.233608,79.15325899999999,37.804279,29.717543,40.562973,150.76139799999999,24.491404,28.686974,44.84,49.156734,81.30143000000001,30.864927,44.799999,46.003319,107.620003,64.324249,46.59
2018-01-10,56.48,68.83142099999999,10.659293,85.248772,44.604641,26.976912,75.350876,103.74475100000001,79.165405,80.172485,62.84,60.777676,78.520981,37.596237,29.480278000000002,39.849078999999996,149.520264,23.926216,28.207527000000002,44.549999,48.928928000000006,79.864136,30.441311,44.259997999999996,45.361774,107.190002,63.095431999999995,46.130001
2018-01-11,56.150002,68.068832,10.837278,84.293823,44.019566,27.145146999999998,75.350876,103.040825,78.345192,79.647377,62.32,60.97591,78.214722,38.051949,29.895493,39.502047999999995,149.43090800000002,23.926216,28.577103,43.880001,49.523205,79.219826,30.421608000000003,44.509997999999996,44.661018,106.699997,63.006248,45.52
2018-01-12,55.52,66.81104300000001,10.916382,80.40441899999999,43.642734999999995,27.08577,75.083923,103.030907,77.969673,78.75569200000001,61.419998,60.807411,77.276184,38.032135,29.72743,39.194679,149.252197,23.866723999999998,28.666998,43.82,49.62225,78.525963,30.618639,44.049999,44.256355,106.889999,63.05579399999999,45.150002
2018-01-16,55.459998999999996,66.850662,10.560413,81.787102,43.890648,27.234213,74.421471,103.249023,77.49533100000001,78.290031,61.330002,60.41095,76.73281899999999,38.111393,29.579140000000002,39.224426,149.470627,23.827063,27.867918,44.02,49.077496000000004,78.16912099999999,30.795966999999997,42.310001,44.078697,107.059998,62.580128,45.290001000000004
2018-01-17,55.790001000000004,67.59344499999999,10.599965,82.07556899999999,44.17823,27.590473,74.64888,103.199448,77.485451,78.537727,61.709998999999996,61.104758999999994,77.56268299999999,38.725609000000006,29.579140000000002,39.720184,150.801117,23.946049,27.398458,44.200001,49.79063,78.833244,31.101366,42.529999,44.463619,106.589996,62.996334,45.689999
2018-01-18,55.389998999999996,67.14778100000001,11.400895,81.976097,43.731983,27.540993,74.045753,102.584763,76.428062,77.55686999999999,61.919998,60.27219,76.851372,38.230270000000004,29.223240000000004,39.343407,149.708923,23.777483,26.779171,44.5,49.265685999999995,78.516052,31.140772,42.470001,44.315575,106.019997,62.699043,45.380001
2018-01-19,55.16,67.108162,11.618432,82.572937,43.6824,27.511303,74.144623,102.26750200000001,75.9142,77.546959,62.119999,60.252365000000005,76.06102,37.616051,29.065063000000002,39.075695,149.093338,23.737822,26.869068,44.389998999999996,49.325111,78.387192,31.121069,43.349998,43.861561,105.989998,62.540485,45.130001
2018-01-22,55.299999,67.474602,11.252575,82.523201,43.791484999999994,27.501409999999996,74.045753,102.4757,76.042664,77.804565,62.139998999999996,60.22263,75.90295400000001,37.695305,32.080318,39.214508,148.95433,23.747738000000002,26.889046,43.939999,49.562824,78.268242,31.022552,43.360001000000004,43.466770000000004,105.050003,62.441387,45.23
2018-01-23,56.07,68.10844399999999,11.292128,83.756668,44.088982,27.788396999999996,74.85650600000001,103.77449,76.793701,78.924126,62.040001000000004,60.57944499999999,76.722946,38.17083,31.635443,39.819336,151.635147,23.965879,27.108790999999997,43.84,50.236340000000006,79.19009399999999,31.298396999999998,41.16,43.891171,106.220001,63.006248,45.720001
