Date,ALB,APD,AVY,BLL,CF,DWDP,ECL,EMN,FCX,FMC,IFF,IP,LYB,MLM,MON,MOS,NEM,NUE,PKG,PPG,PX,SEE,SHW,VMC,WRK
2017-12-15,129.570007,159.494232,115.910004,39.400002,40.779182,70.0,134.779999,90.230003,16.98,92.03952,153.47435,56.25,106.029999,204.440002,116.812973,24.92,35.869999,59.75646999999999,114.66633600000002,115.089996,149.600006,48.68,403.820007,120.82,62.687957999999995
2017-12-18,132.080002,161.20431499999998,116.120003,38.529999,40.620391999999995,71.389999,135.83999599999999,91.739998,17.35,93.78647600000001,153.643585,57.41,109.559998,207.630005,117.031967,24.51,36.650002,61.64529,116.427071,116.129997,153.330002,49.380001,408.149994,122.309998,63.43294100000001
2017-12-19,132.020004,161.582123,117.099998,38.259997999999996,40.888351,71.41999799999999,135.08999599999999,92.33000200000001,17.33,94.305573,153.70330800000002,57.759997999999996,108.949997,203.669998,115.469154,24.49,36.349998,62.062824,118.21764399999999,116.309998,154.169998,49.66,411.869995,119.260002,62.976020999999996
2017-12-20,131.330002,161.89033500000002,116.68,37.990002000000004,40.570774,71.269997,134.080002,93.029999,17.66,94.754791,152.379333,57.970001,109.91999799999999,204.639999,114.47373200000001,24.48,36.610001000000004,63.474468,119.11293,116.160004,154.009995,48.509997999999996,414.339996,118.980003,63.30381
2017-12-21,128.649994,162.21843,114.019997,37.630001,40.937973,71.639999,133.509995,92.910004,18.18,94.97440300000001,151.17477399999999,57.48,110.279999,210.49000499999997,114.94158200000001,25.24,36.73,64.150467,119.66999799999999,116.18,154.100006,48.700001,411.52999900000003,122.849998,63.413074
2017-12-22,129.28999299999998,162.476929,114.16999799999999,37.970001,41.394493,72.110001,133.970001,92.650002,18.1,95.293846,151.82183799999999,57.98,109.980003,211.100006,115.74787099999999,25.52,36.919998,64.18029,120.089996,116.190002,153.83999599999999,49.09,413.089996,124.230003,63.30381
2017-12-26,129.03999299999998,162.059357,114.82,37.599998,42.525867,71.440002,133.699997,92.980003,18.67,95.373711,151.55307,57.490002000000004,109.93,217.57000699999998,115.48905900000001,25.5,37.57,64.34929699999999,120.099998,116.279999,152.610001,49.139998999999996,411.390015,126.720001,62.827023
2017-12-27,128.429993,162.725479,115.139999,37.560001,42.744205,71.440002,134.100006,92.529999,18.690001000000002,94.635002,152.229996,57.650002,110.029999,218.19999700000002,115.82750700000001,25.49,37.599998,64.230003,120.540001,116.489998,154.190002,49.209998999999996,410.200012,127.480003,62.658161
2017-12-28,128.449997,163.669998,115.57,37.919998,42.287684999999996,71.510002,134.529999,93.41999799999999,19.27,95.0,153.770004,57.830002,111.160004,217.460007,115.73791499999999,25.559998999999998,37.509997999999996,64.339996,120.91999799999999,117.16999799999999,155.28999299999998,49.450001,413.070007,127.599998,62.77735500000001
2017-12-29,127.889999,164.080002,114.860001,37.849998,42.218216,71.220001,134.179993,92.639999,18.959999,94.660004,152.610001,57.939999,110.32,221.039993,116.24558300000001,25.66,37.52,63.580002,120.550003,116.82,154.679993,49.299999,410.040009,128.369995,62.787289
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,131.529999,165.509995,115.68,38.630001,42.813675,71.900002,134.5,94.269997,19.77,95.730003,154.559998,59.77,112.230003,225.0,116.982193,26.65,38.16,66.519997,123.610001,118.0,156.190002,49.419998,413.700012,131.869995,64.27726
2018-01-03,131.78999299999998,166.41000400000001,116.010002,38.529999,42.823601000000004,73.050003,135.369995,95.349998,19.469998999999998,96.959999,155.740005,60.560001,112.260002,227.5,117.459999,26.41,37.84,67.389999,125.980003,118.190002,157.5,49.459998999999996,415.359985,134.28999299999998,64.96264599999999
