Date,ADM,BF.b,CAG,CHD,CL,CLX,COST,COTY,CPB,CVS,DPS,EL,GIS,HRL,HSY,K,KHC,KMB,KO,KR,MDLZ,MKC,MNST,MO,PEP,PG,PM,SJM,STZ,SYY,TAP,TSN,WBA,WMT
2017-12-28,40.27,,37.839489,49.955096999999995,74.75218199999999,148.133728,186.121948,20.07,48.103901,72.598801,96.889999,127.889999,59.064648,36.345890000000004,114.360001,68.029999,77.91999799999999,120.230003,45.720001,27.527088,43.060001,102.239998,62.919998,71.269997,119.349998,91.373413,104.809998,124.07705700000001,227.42640699999998,60.697449,82.029999,81.550003,72.512764,99.400002
2017-12-29,40.080002,,37.46159,49.945141,75.060577,147.87524399999998,185.623276,19.889999,47.756474,72.052193,97.059998,127.239998,58.806767,36.196686,113.510002,67.980003,77.760002,120.660004,45.880001,27.327978,42.799999,101.910004,63.290001000000004,71.410004,119.91999799999999,91.184853,105.650002,123.43128999999999,228.014984,60.36940799999999,82.07,81.07,72.194641,98.75
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,40.09,,37.312424,49.208458,74.75218199999999,144.14703400000002,187.817413,19.879998999999998,47.041763,73.065887,95.269997,127.589996,58.558804,36.166847,112.110001,67.970001,77.019997,119.07,45.540001000000004,28.174197999999997,42.41,101.230003,62.709998999999996,70.739998,118.059998,89.96416500000001,104.389999,122.91468,226.00985699999998,60.140774,82.239998,80.620003,74.510986,98.589996
2018-01-03,39.779999,,37.123474,48.889893,74.463676,142.5961,190.071381,19.77,46.37669,72.747864,95.32,129.619995,58.25133100000001,35.808758000000005,111.639999,67.650002,77.010002,117.08000200000001,45.439999,27.7262,42.580002,101.470001,63.119999,70.480003,117.75,89.854996,104.260002,122.596764,226.94757099999998,60.27,81.449997,79.709999,75.067711,99.449997
2018-01-04,40.450001,,37.730098999999996,49.716171,74.9412,144.842972,188.595337,20.08,46.763821,74.665947,95.769997,130.229996,58.925789,36.256371,112.41999799999999,68.730003,77.910004,118.43,46.080002,26.860066999999997,42.68,102.110001,63.360001000000004,70.199997,118.33000200000001,90.49015,103.470001,123.58031499999998,225.24173,60.84,82.0,80.220001,71.180611,99.540001
2018-01-05,40.18,,37.849438,49.845589000000004,75.030731,144.882721,187.248932,20.4,46.942501,77.965439,95.5,129.990005,59.431629,36.156898,112.959999,68.940002,77.839996,118.16999799999999,46.07,27.198555,43.23,103.110001,63.490002000000004,70.400002,118.66999799999999,90.54969799999999,104.300003,124.73276499999999,219.34608500000002,61.450001,82.93,80.83000200000001,72.492882,100.129997
2018-01-08,40.09,,37.312424,50.213932,75.140167,145.588608,187.976974,20.32,47.280003,77.289642,95.68,130.970001,59.630001,36.216578999999996,114.059998,69.16999799999999,78.480003,119.43,46.0,27.845665000000004,43.009997999999996,103.220001,64.029999,70.309998,117.989998,91.02606999999999,104.139999,125.865349,216.313461,61.580002,83.82,81.709999,73.417435,101.610001
2018-01-09,40.220001,,37.18314,50.164153999999996,75.24960300000001,145.310242,185.792816,20.59,47.299999,77.210136,95.519997,131.699997,59.32,36.206635,113.779999,68.779999,78.620003,116.800003,46.23,27.646555,42.990002000000004,103.120003,65.480003,69.57,118.08000200000001,90.361137,104.889999,125.96469099999999,221.54074100000003,61.380001,83.629997,82.260002,72.989952,100.389999
2018-01-10,39.91,,36.626244,49.566845,74.43383,143.59028600000002,184.92515600000002,20.52,45.82,76.961685,95.66999799999999,130.320007,58.630001,35.202,110.82,67.019997,77.889999,114.959999,46.07,27.865578000000003,42.630001,101.58000200000001,63.59,70.290001,117.480003,89.785522,105.629997,123.35181399999999,218.82734700000003,61.349998,85.209999,81.0,73.646088,99.66999799999999
