Date,VBR,VEA,VOE,VTI,VTV,VWO
2017-06-13,123.666832,41.273559999999996,103.424805,124.675743,96.37264300000001,40.281883
2017-06-12,122.972626,40.919201,102.691498,124.06123400000001,96.05663299999999,40.095257000000004
2017-06-09,122.80403899999999,41.047165,102.50322,124.08106200000002,95.869003,40.242599
2017-06-08,121.60406499999999,41.194813,102.067207,124.180176,95.108604,40.517628
2017-06-07,120.48342099999999,41.253876,101.819466,123.96212,95.009857,40.439040999999996
2017-06-06,120.562767,41.283405,101.809555,123.82336399999998,94.881477,40.468513
2017-06-05,120.98919699999999,41.381840000000004,102.116753,124.140526,95.069099,40.439040999999996
2017-06-02,121.653648,41.559025,102.532951,124.29911000000001,95.08886,40.439040999999996
2017-06-01,121.455307,41.165283,102.651855,123.892738,95.069099,40.311355999999996
2017-05-31,119.392532,40.889668,101.482552,122.75293,94.20996099999999,40.016682
2017-05-30,119.571053,40.810921,101.333908,122.79257199999999,94.338341,40.311355999999996
2017-05-26,120.245415,40.879822,101.542007,122.990799,94.51609,40.380112
2017-05-25,120.44375600000001,40.988102000000005,101.581642,123.010628,94.496346,40.281883
2017-05-24,120.44375600000001,40.997948,101.046532,122.495224,94.249466,40.075615
2017-05-23,120.21566000000001,40.909355,100.808708,122.138428,94.160576,39.938099
2017-05-22,119.92806999999999,40.94873,100.650154,121.930275,93.82482900000001,39.957745
2017-05-19,119.223946,40.840454,100.055595,121.28603400000001,93.429817,39.967566999999995
2017-05-18,118.162811,40.377808,99.292564,120.423744,92.699051,39.270171999999995
2017-05-17,118.19256599999999,40.299061,99.302475,120.066933,92.550919,40.006855
2017-05-16,120.78094499999999,40.791233,101.076263,122.267265,94.20008100000001,40.615849
2017-05-15,121.06853500000001,40.584518,101.314087,122.336647,94.328453,40.576561
2017-05-12,120.33466299999999,40.348282,100.521339,121.68248700000001,93.785324,40.203308
2017-05-11,121.18753799999999,40.171101,101.09607700000001,121.920372,94.160576,39.987209
2017-05-10,121.980911,40.249844,101.720375,122.277176,94.397591,40.006855
2017-05-09,121.25695800000001,40.190784,101.195175,122.009575,94.160576,39.692539000000004
2017-05-08,121.73298600000001,40.259689,101.333908,122.049217,94.456841,39.250526
2017-05-05,122.26850900000001,40.446712,101.45281999999999,122.23753400000001,94.545723,39.496086
2017-05-04,121.207375,40.043133000000005,100.719521,121.632935,94.15070300000001,39.270171999999995
2017-05-03,121.69331399999999,39.757671,100.719521,121.543732,94.15070300000001,39.692539000000004
2017-05-02,122.228844,39.885635,101.105988,121.84108,94.101334,39.977394
2017-05-01,122.665199,39.649395,101.30418399999999,121.84108,94.160576,39.780941
2017-04-28,122.328011,39.541115000000005,101.393364,121.52391100000001,94.15070300000001,39.623783
2017-04-27,123.75608100000001,39.570648,102.027565,121.930275,94.52597,39.456799
2017-04-26,124.063515,39.511585,101.958199,121.811348,94.713608,39.584492
2017-04-25,123.58749399999999,39.659237,102.067207,121.781609,94.79259499999999,39.731831
